Sample,Label,Color,Marker,Alpha,Size,pH,Ca,Mg,Na,K,KNa,HCO3,CO3,Cl,SO4,NO3,TDS
sample1,K-1,,o,0.6,30,7.5,3.24,7.07,11.47,1.27,12.74,14.8,0,2.23,3.52,2.54,1483
sample2,K-1,,o,0.6,30,7.7,2.6,7,12.96,1.44,14.4,13.3,0,3.8,3.24,3.64,1601
sample3,K-1,,o,0.6,30,7.3,1.2,8,11.97,1.33,13.3,13.9,0,2,3.44,3.14,1542
sample4,K-1,,o,0.6,30,7.4,2.2,6.6,12.6,1.4,14,13.6,0,2.4,3.13,3.64,1518
sample5,K-1,,o,0.6,30,7.3,2.54,9.62,10.3,1.14,11.44,14.29,0,2,3.45,3.86,1476
sample6,K-2,,o,0.6,30,6.3,2.45,5.5,13.3,1.48,14.78,12.83,0,2.2,2.77,3.92,1449
sample7,K-2,,o,0.6,30,7.3,1.2,8,12.06,1.34,13.4,11.9,0,2.8,2.29,5.64,1407
sample8,K-2,,o,0.6,30,7.7,2,5.6,13.86,1.54,15.4,13.1,0,2.4,1.95,5.56,1389
sample9,K-2,,o,0.6,30,7.8,0.4,9.4,11.88,1.32,13.2,12.7,0,2.6,2.24,5.42,1448
sample10,K-2,,o,0.6,30,7.6,2,6,14.67,1.63,16.3,13,0,2.4,2.09,6.77,1521
sample11,K-3,,o,0.6,30,7.7,11.23,12.99,13.66,1.52,15.18,11.14,0,7.39,16.48,3.86,2465
sample12,K-3,,o,0.6,30,7.7,8.6,15.4,18.36,2.04,20.4,10.7,0,7.4,16.91,9.41,2647
sample13,K-3,,o,0.6,30,7.7,7.4,15.8,19.53,2.17,21.7,11,0,7.4,15.49,11.05,2574
sample14,K-3,,o,0.6,30,7.7,8.2,11.8,18.81,2.09,20.9,10.3,0,7.2,14.77,8.67,2488
sample15,K-3,,o,0.6,30,7.6,7.6,15.2,19.17,2.13,21.3,11,0,7.4,15.1,10.63,2539
sample16,K-4,,o,0.6,30,7.8,7.24,6.41,11.78,1.31,13.09,10.29,0,4,12.04,0.01,1872
sample17,K-4,,o,0.6,30,7.7,8.03,5.18,13.15,1.46,14.61,9.83,0,4,13.83,0.01,1966
sample18,K-4,,o,0.6,30,7.8,6.4,7.6,10.17,1.13,11.3,9,0,4.2,12.14,0.01,1841
sample19,K-4,,o,0.6,30,7.7,7,6,12.6,1.4,14,9.2,0,5.6,12.21,0.01,2034
sample20,K-4,,o,0.6,30,7.6,3.6,7.6,12.78,1.42,14.2,8.9,0,4.4,11.97,0.18,1830
sample21,K-4,,o,0.6,30,7.8,6,8,10.71,1.19,11.9,9.3,0,4.4,12.17,0.01,1896
sample22,K-6,,o,0.6,30,7.8,6.14,7.57,15.81,1.76,17.57,14.77,0,6.4,9.12,0.78,2185
sample23,K-6,,o,0.6,30,7.7,5.84,8.22,18.2,2.02,20.22,14.41,0,6.4,8.85,4.1,2213
sample24,K-6,,o,0.6,30,7.6,3.4,11.2,12.96,1.44,14.4,9,0,6,12.36,1.64,1956
sample25,K-6,,o,0.6,30,7.8,4.2,8,18,2,20,13.6,0,6.6,8.52,3.48,2172
sample26,K-6,,o,0.6,30,7.9,0.8,9,20.79,2.31,23.1,13.5,0,6.6,8.97,3.85,2260
sample27,K-6,,o,0.6,30,7.7,5,7.4,18.72,2.08,20.8,13.6,0,7,8.22,4.33,2199
sample28,K-7,,o,0.6,30,7.7,7.83,9.79,25.08,2.79,27.87,9.55,0,7,25.94,1.89,2993
sample29,K-7,,o,0.6,30,7.6,4.2,17.8,20.43,2.27,22.7,8.6,0,7.6,26.02,2.5,3005
sample30,K-7,,o,0.6,30,7.7,6.6,11,24.21,2.69,26.9,9,0,7.2,25.18,3.1,2959
sample31,K-8,,o,0.6,30,7.8,11.48,9.38,9.04,1,10.04,8.6,0,4.2,17.67,0.43,2097
sample32,K-8,,o,0.6,30,7.9,13.02,10.36,15.73,1.75,17.48,8.47,0,6.2,23.54,1.55,2656
sample33,K-8,,o,0.6,30,7.7,8.6,10.2,9.63,1.07,10.7,6.9,0,4.6,17.56,0.39,2022
sample34,K-8,,o,0.6,30,7.7,7.8,11,10.26,1.14,11.4,7.7,0,4.4,17.53,0.52,2111
sample35,K-8,,o,0.6,30,7.6,7.2,10,13.41,1.49,14.9,7.4,0,6.6,17.51,0.61,2164
sample36,K-8,,o,0.6,30,7.8,9.4,9.6,10.35,1.15,11.5,7.5,0,4.6,17.84,0.58,2083
sample37,K-11,,o,0.6,30,7.8,11.38,1.23,26.55,2.95,29.5,9.29,0,7.39,24.17,0.89,2941
sample40,K-13,,o,0.6,30,7.9,18.36,14.83,8.55,0.95,9.5,9.55,0,9.18,23.46,1.25,3058
sample41,K-13a,,o,0.6,30,7.8,12.6,26.8,27.81,3.09,30.9,16.2,0,10.4,37.87,5.85,4620
sample42,K-14,,o,0.6,30,7.6,5.99,4.03,12.01,1.34,13.35,11.54,0,3.61,7.92,0.87,1688
sample48,K-15,,o,0.6,30,7.8,3.09,7.15,11.44,1.27,12.71,9.91,0,5.18,3.65,4.01,1472
sample49,K-15,,o,0.6,30,7.4,4.39,8.96,10.33,1.15,11.48,9.96,0,5.19,3.73,5.22,1432
sample50,K-15a,,o,0.6,30,7.5,4.4,11.4,8.46,0.94,9.4,9.7,0,5.6,3.97,5.92,1496
sample51,K-16a,,o,0.6,30,7.6,4,5.4,13.23,1.47,14.7,13.5,0,3.2,4.4,2.98,1722
sample52,K-17a,,o,0.6,30,7.6,3,7.4,11.34,1.26,12.6,9.7,0,3.2,7.41,2.73,1610
sample53,K-18,,o,0.6,30,7.7,2,10.2,13.32,1.48,14.8,12.4,0,3,8.8,2.77,1839
sample54,K-19,,o,0.6,30,7.7,5.8,18.2,22.95,2.55,25.5,14.5,0,10.6,17.82,6.6,3113
sample55,K-20,,o,0.6,30,7.5,5.29,6.33,5.78,0.64,6.42,3.24,0,4.2,8.23,2.83,1270
sample56,K-20,,o,0.6,30,7.6,3.2,5.4,10.44,1.16,11.6,9,0,2.8,6.39,1.99,1397
sample57,K-21,,o,0.6,30,7.7,9.6,8.6,9.81,1.09,10.9,7.2,0,5.8,13.83,2.23,1920
sample58,K-22,,o,0.6,30,7.8,5,11,17.55,1.95,19.5,12.2,0,7.8,7.14,8.34,2115
sample59,K-23,,o,0.6,30,7.6,7.6,10.2,14.94,1.66,16.6,8,0,5,17.6,3.85,2243
sample60,K-24,,o,0.6,30,7.7,18.4,12.4,18.63,2.07,20.7,9.8,0,14.8,13.11,13.77,2817
sample61,K-24,,o,0.6,30,7.7,17.2,17.4,12.15,1.35,13.5,10.7,0,9.8,12.72,14.83,2636
sample62,K-24,,o,0.6,30,7.8,15.6,14.8,15.84,1.76,17.6,10,0,10,13.4,14.64,2616
sample63,K-24,,o,0.6,30,7.7,17.4,17.8,9.36,1.04,10.4,9.9,0,9.4,11.73,14.55,2372
sample64,K-25,,o,0.6,30,7.6,6.2,2.4,37.44,4.16,41.6,10.4,0,15.6,18.52,5.71,3278
sample65,K-26,,o,0.6,30,8.3,6.4,21.2,32.22,3.58,35.8,8.6,0,20.6,28.72,5.46,3922
sample66,K-31,,o,0.6,30,7.8,10.28,12.25,13.93,1.55,15.48,11.54,0,9.39,16.33,0.85,2532
sample67,K-31,,o,0.6,30,7.8,8.6,15,16.56,1.84,18.4,10.8,0,9.8,16.01,5.42,2612
sample68,K-31,,o,0.6,30,7.8,9.4,11.6,19.53,2.17,21.7,11.3,0,9.4,16.38,5.6,2706
sample69,K-31,,o,0.6,30,7.7,3.4,15.6,20.61,2.29,22.9,10.7,0,9.8,16.02,5.35,2620
sample70,K-31,,o,0.6,30,7.6,9.4,12.6,18.27,2.03,20.3,11,0,9.6,15.99,5.67,2673
sample71,P-1,,o,0.6,30,7.8,6.6,15.4,21.78,2.42,24.2,3,0,9.6,32.92,0.68,3077
sample72,P-1,,o,0.6,30,7.7,5.2,13.6,21.96,2.44,24.4,3.9,0,8.6,29.92,0.74,2963
sample73,P-1,,o,0.6,30,7.7,3.2,15.8,23.94,2.66,26.6,2.5,0,9.4,32.2,1.46,2987
sample74,P-1,,o,0.6,30,7.8,6.8,12.8,22.86,2.54,25.4,3.6,0,8.8,31.12,1.46,3014
sample75,P-2,,o,0.6,30,7.7,6.2,13.4,24.03,2.67,26.7,2.7,0,9.4,34.15,0.02,3133
sample76,P-2,,o,0.6,30,7.7,8,12.2,23.31,2.59,25.9,5.1,0,8.4,31.43,1.16,3114
sample77,P-2,,o,0.6,30,7.9,3.8,19.8,20.07,2.23,22.3,2.5,0,9.6,33.74,0.02,3017
sample78,P-2,,o,0.6,30,7.8,5.4,16.8,22.59,2.51,25.1,4.9,0,9.2,32.11,1.11,3148
sample79,P-3,,o,0.6,30,7.8,1.2,10.4,20.43,2.27,22.7,8.4,0,8.1,13.78,4.06,2229
sample80,P-3,,o,0.6,30,7.8,1.6,13,21.51,2.39,23.9,13.9,0,7.8,13.99,2.8,2702
sample81,P-3,,o,0.6,30,7.8,1.4,7.6,27.36,3.04,30.4,13.8,0,8,13.01,3.39,2651
sample82,P-3,,o,0.6,30,7.6,2.4,10.6,18.81,2.09,20.9,12.5,0,3.9,13.13,4.35,2259
sample83,P-4,,o,0.6,30,8.4,9,13.4,21.24,2.36,23.6,14.1,0,13.6,13.47,4.85,3015
sample84,P-4,,o,0.6,30,7.5,13.2,8.8,22.77,2.53,25.3,16.8,0,13.4,13.28,3.84,3413
sample85,P-4,,o,0.6,30,7.8,2.6,16.6,24.3,2.7,27,13.8,0,14,13.54,4.83,3038
sample86,P-4,,o,0.6,30,7.9,10.2,15.4,22.23,2.47,24.7,16.6,0,14,13.52,6.13,3252
sample87,P-5,,o,0.6,30,7.7,10,16.6,16.29,1.81,18.1,11,0,11.6,10.6,11.41,2658
sample88,P-5,,o,0.6,30,7.6,13.6,12.6,18.99,2.11,21.1,13.7,0,11.6,10.9,11.14,2781
sample89,P-5,,o,0.6,30,7.6,6.6,11.6,26.19,2.91,29.1,13.2,0,12,10.73,11.41,2790
sample90,P-5,,o,0.6,30,7.6,12.8,13,18.9,2.1,21,13.5,0,11.2,10.51,11.55,2740
sample91,P-6,,o,0.6,30,7.5,3.2,14.2,16.92,1.88,18.8,8.5,0,9.8,14.53,3.39,2379
sample92,P-6,,o,0.6,30,7.7,8.4,16.4,14.85,1.65,16.5,11.7,0,9.6,14.07,5.93,2648
sample93,P-6,,o,0.6,30,7.7,7.2,22.8,39.24,4.36,43.6,16,0,12.8,42.37,2.42,5024
sample94,P-6,,o,0.6,30,7.7,8.4,15,14.76,1.64,16.4,11.3,0,9.2,13.32,5.99,2420
sample95,P-7,,o,0.6,30,7.7,7,8.8,9.81,1.09,10.9,8.6,0,4,14.05,0.02,1979
sample96,P-7,,o,0.6,30,7.5,3.8,3.4,3.24,0.36,3.6,5.6,0,1.8,3.39,0.02,995
sample97,P-7,,o,0.6,30,7.5,9,18.6,2,0.1,2.1,6.8,0,6.2,13.18,1.6,1880
sample98,P-7,,o,0.6,30,7.9,1.8,2.4,3.78,0.42,4.2,4,0,1,3.42,0.01,856
sample99,P-8,,o,0.6,30,7.5,12.2,14,8.55,0.95,9.5,5.5,0,6,23.37,0.84,2394
sample100,P-8,,o,0.6,30,7.8,12.8,13.4,9.63,1.07,10.7,6.3,0,6,23.79,0.76,2456
sample101,P-8,,o,0.6,30,7.8,11.6,12,11.43,1.27,12.7,5.2,0,6.2,23.81,1.07,2435
sample102,P-8,,o,0.6,30,7.7,13.4,12.8,8.82,0.98,9.8,5.7,0,6,23.59,0.76,2448
